Topplista,Titlar,Platform,MetaScore,UserScore,ReleaseDate,Publishers,Developers
171,Operencia: The Stolen Sun,Switch,81,7.6,"March 31, 2020",Zen Studios,Zen Studios
172,Wunderling,Switch,81,8.0,"March 5, 2020",Retroid,Retroid
173,Rune Factory 4 Special,Switch,81,8.1,"February 25, 2020",XSEED Games,"Neverland, HAKAMA"
174,Fuser,Xbox One,81,7.2,"November 10, 2020",NCSOFT,Harmonix Music Systems
175,Filament,PC,81,7.5,"April 23, 2020",Kasedo Games,Beard Envy
176,SnowRunner,Xbox One,81,7.4,"April 28, 2020",Focus Home Interactive,Saber Interactive
177,SnowRunner,PlayStation 4,81,6.9,"April 28, 2020",Focus Home Interactive,Saber Interactive
178,CrossCode,PlayStation 4,81,7.2,"July 9, 2020",DECK13 Spotlight,Radical Fish Games
179,The Walking Dead: Saints & Sinners,PC,81,7.9,"January 23, 2020",Skydance Interactive,Skydance Interactive
180,Genshin Impact,PlayStation 4,81,6.2,"September 28, 2020",miHoYo,miHoYo
181,Ghostrunner,PC,81,8.3,"October 27, 2020",505 Games,ONE MORE LEVEL
182,Neon Abyss,Xbox One,81,6.8,"July 14, 2020",Team17,Veewo Games
183,The Legend of Heroes: Trails of Cold Steel IV,PlayStation 4,81,8.8,"October 27, 2020",NIS America,Falcom
184,The Last Campfire,Switch,81,7.8,"August 27, 2020",Hello Games,Hello Games
185,Necrobarista,PC,81,6.6,"July 22, 2020",Route 59 Games,Route 59 Games
186,PHOGS!,Xbox One,81,NA,"December 3, 2020",Coatsink Software,Coatsink Software
187,Nowhere Prophet,Switch,81,6.0,"July 30, 2020",No More Robots,Sharkbomb Studios
188,Get Packed,Stadia,81,7.1,"April 28, 2020",Coatsink Software,Moonshine Studios
189,Creature in the Well,PlayStation 4,81,6.5,"March 27, 2020",MWM Interactive,Flight School Studio
190,Planet Coaster: Console Edition,PlayStation 5,81,7.4,"November 12, 2020",Frontier Developments,Frontier Developments
191,Fall Guys: Ultimate Knockout,PlayStation 4,81,7.1,"August 4, 2020",Devolver Digital,Mediatonic
192,WRC 9 FIA World Rally Championship,PlayStation 4,81,6.6,"September 4, 2020",Bigben Interactive,KT Racing
193,AVICII Invector Encore Edition,Switch,81,7.7,"September 8, 2020",Wired Productions,Wired Productions
194,Immortals: Fenyx Rising,Xbox Series X,80,7.7,"December 3, 2020",Ubisoft,Ubisoft Quebec
195,Gears Tactics,PC,80,7.7,"April 28, 2020",Microsoft Game Studios,"Splash Damage, The Coalition"
196,Per Aspera,PC,80,6.6,"December 3, 2020",Raw Fury,Tlon Studios
197,Metro Redux,Switch,80,8.4,"February 28, 2020",Deep Silver,4A Games
198,PHOGS!,Switch,80,NA,"December 3, 2020",Coatsink Software,Bit Loom Games
199,Chicken Police - Paint it RED!,Switch,80,NA,"November 5, 2020",HandyGames,HandyGames
200,Vitamin Connection,Switch,80,7.8,"January 17, 2020",Limited Run Games,WayForward
201,Amnesia: Rebirth,PC,80,6.4,"October 20, 2020",Frictional Games,Frictional Games
202,Pumpkin Jack,Xbox One,80,6.0,"October 23, 2020",Headup Games,Nicolas Meyssonnier
203,Embracelet,Switch,80,NA,"September 24, 2020",machineboy,machineboy
204,Catherine: Full Body,Switch,80,8.4,"July 7, 2020",Atlus,"Atlus, Studio Zero"
205,Assassin's Creed Valhalla,PlayStation 4,80,7.3,"November 10, 2020",Ubisoft,"Ubisoft, Ubisoft Montreal"
206,DOOM Eternal,Switch,80,8.2,"December 8, 2020",Bethesda Softworks,"id Software, Panic Button"
207,NBA 2K21,Xbox Series X,80,7.0,"November 10, 2020",2K Games,Visual Concepts
208,Monster Prom 2: Monster Camp,PC,80,NA,"October 23, 2020",Beautiful Glitch,Beautiful Glitch
209,Under Night In-Birth Exe:Late[cl-r],PlayStation 4,80,6.3,"February 20, 2020",Aksys Games,French-Bread
210,Going Under,PlayStation 4,80,NA,"September 24, 2020",Team17,AggroCrab
211,Crown Trick,Switch,80,8.4,"October 16, 2020",NExT Studios,NExT Studios
212,Mega Man Zero / ZX Legacy Collection,Xbox One,80,7.9,"February 25, 2020",Capcom,Capcom
213,Neon Abyss,PlayStation 4,80,NA,"July 14, 2020",Veewo Games,Veewo Games
214,Super Mega Baseball 3,PlayStation 4,80,6.4,"May 13, 2020",Metalhead Software,Metalhead Software
